latitude(deg),longitude(deg),time(ms),elevation(m),velocity(m/s),bearing(deg)
58.967469,23.15616,1380000,94.41,9.543431398,328.6747656
58.96852,23.155037,1394000,95.276,9.532869926,331.1530618
58.968763,23.154831,1397000,96.786,9.83206721,336.3940735
58.969501,23.153966,1407000,100.376,9.590498568,328.8595597
58.970916,23.152116,1427000,103.803,9.489600073,326.0226368
58.970983,23.152013,1428000,103.579,9.508341394,321.6052264
58.971923,23.150934,1441000,107.013,9.34488483,329.3881637
58.972101,23.150888,1443000,106.852,9.986577404,352.4124367
58.972588,23.151128,1448000,107.439,11.17749764,14.25279022
58.973195,23.151704,1454000,110.96,12.52627917,26.06390871
58.973896,23.15237,1461000,114.177,12.40234996,26.09065376
58.974096,23.152551,1463000,114.931,12.27318258,25.00716134
58.974395,23.152836,1466000,116.65,12.35114193,26.16429296
58.975402,23.153507,1476000,120.377,11.84262472,18.95415341
58.975603,23.153613,1478000,121.273,11.58379551,15.20589744
58.976413,23.154192,1486000,124.097,12.00161234,20.22422438
58.976924,23.154674,1491000,127.25,12.63937098,25.92594609
58.977229,23.154964,1494000,129.398,12.59273757,26.10631783
58.977525,23.155259,1497000,131.918,12.33731355,27.18650832
58.978596,23.156555,1508000,135.113,12.76271592,31.94861459
58.978791,23.156818,1510000,135.974,13.20689149,34.80192909
58.979295,23.157384,1515000,139.508,12.95389055,30.05978367
58.979397,23.157478,1516000,139.799,12.55955111,25.40429588
58.980213,23.158408,1524000,143.064,13.15717924,30.42686073
58.980704,23.159109,1529000,146.577,13.56012026,36.34297275
58.980804,23.159252,1530000,145.718,13.81645631,36.38703975
58.981731,23.15991,1539000,141.367,12.19865697,20.09130208
58.98234,23.160063,1545000,137.337,11.38367882,7.376493081
58.98244,23.160074,1546000,137.215,11.14047959,3.244229847
58.983026,23.160125,1552000,134.719,10.87401615,2.567779228
58.984828,23.160131,1571000,133.412,10.54894774,0.09829905523
58.986034,23.159368,1586000,134.6,9.405750369,341.945031
58.986187,23.159224,1588000,135.272,9.456514473,334.1295862
58.986333,23.159081,1590000,135.059,9.094866632,333.2219734
58.986454,23.158328,1595000,133.998,9.040638217,287.3216761
58.98639,23.157968,1597000,134.721,10.91227689,250.9637756
58.98632,23.157596,1599000,135.883,11.34799816,249.9374171
58.986257,23.157088,1602000,135.626,9.981394057,256.4669133
58.986114,23.156611,1605000,129.73,10.54225336,239.8076174
58.986045,23.156453,1606000,129.605,11.86967696,229.7163579
58.985989,23.156289,1607000,129.673,11.2752611,236.4669338
58.985768,23.155655,1611000,127.366,10.96696758,235.9208313
58.985592,23.154208,1620000,124.277,9.467354265,256.7184743
58.985844,23.153173,1628000,125.313,8.200549569,295.2931616
58.986056,23.15277,1632000,125.263,8.251593252,315.5947503
58.986226,23.152479,1635000,126.118,8.404019073,318.5885116
58.986394,23.152196,1638000,125.404,8.247563651,319.0441379
58.986552,23.151866,1641000,123.035,8.605489515,312.8999579
58.986716,23.151565,1644000,122.988,8.368527847,316.6002113
58.986845,23.151216,1647000,121.658,8.204921871,305.65561
58.987189,23.150126,1656000,121.357,8.139104353,301.4892749
58.987515,23.149806,1661000,121.244,8.126644699,333.1723797
58.987758,23.149781,1664000,121.326,9.021974497,356.9658025
58.988067,23.149674,1668000,119.574,8.727901597,349.884386
58.988235,23.149653,1670000,117.528,9.362360953,356.3151398
58.988544,23.149517,1674000,113.399,8.810365566,347.2237367
58.988772,23.1494,1677000,110.139,8.74363788,345.1908641
58.988991,23.149234,1680000,108.017,8.716693657,338.6684201
58.989396,23.148827,1686000,102.968,8.454360864,332.6275867
58.989721,23.148445,1691000,99.028,8.45193372,328.8031025
58.990249,23.147859,1699000,94.667,8.456209619,330.2401713
58.990315,23.147783,1700000,94.723,8.535505445,329.3218535
58.990447,23.147636,1702000,93.439,8.463305446,330.1560757
58.991033,23.146941,1711000,95.614,8.486898849,328.5752439
58.991691,23.146159,1721000,90.897,8.581455886,328.5232625
58.991757,23.146051,1722000,91.195,9.601299776,319.8694198
58.992348,23.145068,1732000,91.153,8.656527658,319.4087478
58.992618,23.144866,1736000,91.688,8.046076492,338.9229792
58.992856,23.144841,1739000,90.736,8.83685891,356.9026394
58.993089,23.144772,1742000,87.101,8.73851478,351.3262528
58.993425,23.144634,1746000,84.651,9.549831111,348.0538822
58.99375,23.144493,1750000,88.186,9.260073511,347.4021109
58.99389,23.144432,1752000,88.996,7.979544453,347.3496551
58.994123,23.144312,1755000,88.098,8.937416612,345.1416663
58.994509,23.143956,1760000,90.216,9.506445711,334.5883379
58.994916,23.143549,1766000,87.755,8.487017005,332.7464009
58.995071,23.143405,1768000,85.282,9.556257761,334.4263097
58.995449,23.143031,1773000,89.281,9.437816564,332.9941269
58.99565,23.142782,1776000,91.421,8.840127932,327.4575599
58.995985,23.142421,1781000,92.739,8.52323821,330.9664369
58.996364,23.142246,1786000,97.505,8.666132057,346.621372
58.99651,23.14222,1788000,98.999,8.153604443,354.7590161
58.996587,23.142207,1789000,98.853,8.596745299,355.0298852
58.996956,23.142013,1794000,101.192,8.50415776,344.8475693
58.997356,23.141516,1800000,101.972,8.803625742,327.381471
58.99754,23.141166,1803000,101.364,9.550478426,315.585756
58.997714,23.140894,1806000,105.15,8.282354186,321.1600554
58.997886,23.14059,1809000,103.956,8.62366512,317.6867168
58.99808,23.14033,1812000,105.988,8.739892939,325.3828838
58.998308,23.139938,1816000,107.85,8.468449529,318.4736561
58.998537,23.139518,1820000,108.856,8.759636804,316.6303935
58.998643,23.139296,1822000,109.728,8.671075138,312.8316673
58.998858,23.138861,1826000,111.852,8.634520839,313.8193728
58.998973,23.138662,1828000,113.075,8.567019582,318.2904926
58.999313,23.138044,1834000,115.967,8.633793843,316.8881312
58.999735,23.137172,1842000,118.979,8.56821539,313.2172357
58.999844,23.13696,1844000,120.053,8.580148773,314.9505284
59.000009,23.136657,1847000,123.459,8.42018151,316.5957074
59.001008,23.134412,1867000,125.325,8.497896633,310.8281395
59.001464,23.133407,1876000,127.625,8.525019794,311.3804252
59.001902,23.132595,1884000,128.564,8.419551003,316.3257539
59.002532,23.130559,1900000,129.929,8.503641746,300.9995719
59.002818,23.130102,1905000,127.915,8.239382673,320.5486688
59.00361,23.129179,1917000,131.554,8.561572751,329.029418
59.00458,23.127889,1932000,133.71,8.71775838,325.5946328
59.005546,23.126084,1949000,136.316,8.771003038,316.1037168
59.005649,23.125869,1951000,136.956,8.409700025,312.9325954
59.005861,23.125433,1955000,133.412,8.586458396,313.3574343
59.005971,23.125215,1957000,132.624,8.740657847,314.4177682
59.007024,23.123714,1973000,135.294,9.080407801,323.7211171
59.008317,23.12164,1994000,134.43,8.88227294,320.4459484
59.008845,23.120716,2003000,133.771,8.783626058,317.978636
59.009025,23.120239,2007000,130.393,8.46726882,306.2368117
59.009107,23.119969,2009000,128.805,8.976237471,300.5333957
59.009258,23.119397,2013000,125.782,9.203296916,297.1441447
59.009447,23.118677,2018000,121.706,9.256784978,297.0132304
59.009786,23.117596,2026000,117.767,9.060900801,301.3441469
59.010072,23.117356,2030000,113.801,8.663269015,336.632131
59.010579,23.117399,2036000,110.31,9.407575649,2.500421066
59.01118,23.117518,2043000,106.532,9.599065482,5.820972423
59.011266,23.117556,2044000,105.246,9.809873119,12.81667333
59.01152,23.117535,2047000,102.032,9.425684445,357.5625255
59.011636,23.117263,2049000,98.624,10.11304643,309.6355992
59.011652,23.117066,2050000,98.54,11.42097923,278.9644568
59.011289,23.116159,2055000,96.762,13.15751493,232.1414385
59.010469,23.116604,2060000,93.185,18.93978692,164.3886997
59.010356,23.117414,2063000,89.939,16.01999555,105.1598256
59.010479,23.117879,2065000,86.671,14.9692366,62.80837422
59.010961,23.118292,2071000,85.992,9.766077581,23.8055105
59.011047,23.118268,2072000,85.696,9.663695597,351.8233949
59.011266,23.118058,2075000,86.028,9.055178251,333.7239806
59.011385,23.117873,2077000,87.294,8.476888374,321.3253904
59.011854,23.117789,2083000,82.136,8.731072927,354.7314351
59.012263,23.118073,2088000,85.166,9.662256604,19.67210618
59.012437,23.118184,2090000,85.412,10.18524877,18.18224783
59.013206,23.118388,2099000,88.722,9.591894853,7.777147295
59.013375,23.118452,2101000,89.645,9.575586379,11.03245403
59.01406,23.118654,2109000,92.821,9.632879785,8.63259727
59.014225,23.118695,2111000,93.543,9.250946298,7.29003987
59.014817,23.118796,2118000,96.634,9.442777376,5.019512873
59.015585,23.118793,2127000,99.635,9.491326311,359.8847808
59.016182,23.118759,2134000,103.238,9.490086754,358.3206626
59.016266,23.118754,2135000,103.143,9.347390807,358.2448609
59.016774,23.118676,2141000,105.833,9.446528487,355.4806168
59.017446,23.118547,2149000,107.763,9.388513464,354.3564224
59.018364,23.118336,2160000,111.739,9.347083869,353.2523033
59.018449,23.118323,2161000,111.309,9.483485873,355.498485
59.019051,23.118219,2168000,116.208,9.603206379,354.9182013
59.019135,23.118207,2169000,116.425,9.36823278,355.7942694
59.019649,23.118158,2175000,119.495,9.539847777,357.1906961
59.019992,23.118129,2179000,121.533,9.546679404,357.5080485
